Spacing,Greedy,Iterations,Evaluations,Dataset,Radius,Turbines,Run,Objective,WakeLoss,Violation,Feasible,Seconds,Coordinates
4D,False,100,3030,1,1000,8,8,112070.27896456,295.619993318629,0.0,True,0.6788563439999962,-252.3425 -963.1696;430.8959 505.6944;-951.9547 -306.0905;-626.0902 -779.6853;-200.1176 872.6906;412.5785 -799.4973;980.4635 196.6979;775.4070 -274.2654
4D,False,100,3030,1,1000,8,9,112036.34496642757,329.5539914510591,0.0,True,0.6804306929999484,-968.1421 -248.9156;-347.3572 -300.3257;982.0773 -110.7084;440.5934 -175.2225;224.8580 669.0329;-123.3807 274.9571;225.8284 -969.0867;-776.5550 -630.0494
4D,False,100,3030,1,1000,8,10,112145.9964591493,219.90249872932327,0.0,True,0.6709451689999923,970.8216 -237.0896;-703.0299 -704.6239;-949.2440 -311.7225;-686.9372 652.2077;-8.2513 756.0334;672.3231 -737.2888;-328.6265 -559.7549;705.7978 708.4014
4D,False,100,3030,1,1000,8,11,112072.25754187672,293.6414160019049,0.0,True,0.6661888109999836,144.0079 989.5765;-321.4861 946.2683;-930.7896 73.9176;292.1309 590.9856;-674.2455 390.8438;967.9208 251.2411;-357.0253 -722.8926;614.0858 -749.0964
4D,False,100,3030,1,1000,8,12,111990.91340320444,374.9855546741892,0.0,True,0.6345660289999842,725.8746 677.6439;-405.5783 913.4218;962.0297 -167.9373;-109.2859 -152.9388;299.7726 -421.6319;558.1134 -829.0419;109.5075 -993.9827;-827.2388 551.3035
4D,False,100,3030,1,1000,8,13,111994.17993823774,371.71901964089193,0.0,True,0.6272402399999919,-729.8227 -194.1817;270.9459 -757.3837;253.2286 403.1590;-462.2932 -584.3151;849.2264 -429.9278;-893.6978 173.0018;558.1116 -85.8442;996.7794 -15.3260
4D,False,100,3030,1,1000,8,14,112108.90888933941,256.9900685392204,0.0,True,0.6145305269999426,334.1306 -297.4589;919.6399 -392.3445;-570.9284 -473.4398;27.9252 950.5902;-595.7457 803.1151;-39.2274 -951.6701;525.9481 -850.5167;-908.0817 31.7740
4D,False,100,3030,1,1000,8,15,112074.85800601511,291.0409518635133,0.0,True,0.6230895610000289,294.6370 69.0002;-598.5642 -637.4199;936.4369 108.1993;-45.3946 -996.6755;-244.3156 -247.1546;-877.6248 388.3197;666.1448 709.5733;59.9651 956.1988
4D,False,100,3030,1,1000,8,16,112006.0923227242,359.80663515442575,0.0,True,0.6486752170000045,875.6166 483.0047;570.9123 685.2012;866.7168 -437.6796;-651.6160 -689.7058;529.4607 -816.9809;-469.5308 833.2537;-933.2648 -350.5694;-218.5343 214.6590
4D,False,100,3030,1,1000,8,17,112100.22844482881,265.6705130498158,0.0,True,0.6434242110000241,164.2146 -342.6907;-502.6185 848.5958;-476.8508 -713.3432;473.4241 727.8825;-88.3708 654.3045;958.4906 210.0987;517.0199 -849.9434;-788.9248 494.6950
