Algorithm,Dataset,Radius,Turbines,Seed,Calls,Objective,Ideal,WakeLoss,Feasible,MinSpacing,Seconds,Linear,Cubic,CubicCutout,Gauss,IdealCubic,IdealCubicCutout
LXSSA,1,500,2,14,6030,28091.474739469657,28091.474739469657,0.0,True,840.4515199136578,1.6825032269999838,28091.474739469657,23212.67310384682,22101.617458366913,27983.653377405593,23212.67310384682,22101.617458366913
LXSSA,1,500,2,15,6030,28091.474739469657,28091.474739469657,0.0,True,884.8950706436425,1.7197707990000026,28091.474739469657,23212.67310384682,22101.617458366913,28087.68298114199,23212.67310384682,22101.617458366913
LXSSA,1,500,2,16,6030,28091.474739469657,28091.474739469657,0.0,True,931.8889635409862,1.7526189239999894,28091.474739469657,23212.67310384682,22101.617458366913,28088.000091245867,23212.67310384682,22101.617458366913
LXSSA,1,500,2,17,6030,28091.474739469657,28091.474739469657,0.0,True,840.4387677938312,1.6178918349999662,28091.474739469657,23212.67310384682,22101.617458366913,28061.89855342327,23212.67310384682,22101.617458366913
LXSSA,1,500,2,18,6030,28091.474739469657,28091.474739469657,0.0,True,832.6915637362824,1.6775606960000005,28091.474739469657,23212.67310384682,22101.617458366913,28086.049563680477,23212.67310384682,22101.617458366913
LXSSA,1,500,2,19,6030,28091.474739469657,28091.474739469657,0.0,True,872.2313781494836,1.6504855420000126,28091.474739469657,23212.67310384682,22101.617458366913,28085.83295358373,23212.67310384682,22101.617458366913
LXSSA,1,500,2,20,6030,28091.474739469657,28091.474739469657,0.0,True,808.8370327000828,1.6789311919999932,28091.474739469657,23212.67310384682,22101.617458366913,28086.139404010395,23212.67310384682,22101.617458366913
LXSSA,1,500,2,21,6030,28091.474739469657,28091.474739469657,0.0,True,839.156302923231,1.6433952900000008,28091.474739469657,23212.67310384682,22101.617458366913,28085.125421540793,23212.67310384682,22101.617458366913
LXSSA,1,500,2,22,6030,28091.474739469657,28091.474739469657,0.0,True,712.3252046041648,1.6791217109999934,28091.474739469657,23212.67310384682,22101.617458366913,27921.331510002958,23212.67310384682,22101.617458366913
LXSSA,1,500,2,23,6030,28091.474739469657,28091.474739469657,0.0,True,739.9396724642247,1.7334123520000162,28091.474739469657,23212.67310384682,22101.617458366913,28082.317833149515,23212.67310384682,22101.617458366913
LXSSA,1,500,2,24,6030,28091.474739469657,28091.474739469657,0.0,True,808.1340994686549,1.685229989999982,28091.474739469657,23212.67310384682,22101.617458366913,28086.194899824437,23212.67310384682,22101.617458366913
LXSSA,1,500,2,25,6030,28091.474739469657,28091.474739469657,0.0,True,946.5780250518474,1.65179116500002,28091.474739469657,23212.67310384682,22101.617458366913,28089.044236029535,23212.67310384682,22101.617458366913
LXSSA,1,500,2,26,6030,28091.474739469657,28091.474739469657,0.0,True,938.0664768458364,1.6432437930000106,28091.474739469657,23212.67310384682,22101.617458366913,28089.158950835794,23212.67310384682,22101.617458366913
LXSSA,1,500,2,27,6030,28091.474739469657,28091.474739469657,0.0,True,782.4799557719341,1.655826515000001,28091.474739469657,23212.67310384682,22101.617458366913,28083.646771590957,23212.67310384682,22101.617458366913
LXSSA,1,500,2,28,6030,28091.474739469657,28091.474739469657,0.0,True,885.2188365952419,1.6602480889999924,28091.474739469657,23212.67310384682,22101.617458366913,28086.023765874113,23212.67310384682,22101.617458366913
LXSSA,1,500,2,29,6030,28091.474739469657,28091.474739469657,0.0,True,916.0131492789172,1.751208448,28091.474739469657,23212.67310384682,22101.617458366913,28088.846006519492,23212.67310384682,22101.617458366913
LXSSA,1,500,2,30,6030,28091.474739469657,28091.474739469657,0.0,True,907.7377346467168,1.868963712999971,28091.474739469657,23212.67310384682,22101.617458366913,28087.99021953707,23212.67310384682,22101.617458366913
SSA,1,500,2,1,6030,28091.474739469657,28091.474739469657,0.0,True,901.9894564639798,1.8005287219999673,28091.474739469657,23212.67310384682,22101.617458366913,28087.380121667353,23212.67310384682,22101.617458366913
SSA,1,500,2,2,6030,28091.474739469657,28091.474739469657,0.0,True,871.6897683949726,1.854671291000045,28091.474739469657,23212.67310384682,22101.617458366913,27951.38557640704,23212.67310384682,22101.617458366913
SSA,1,500,2,3,6030,28091.474739469657,28091.474739469657,0.0,True,742.7330008297813,1.7470909159999906,28091.474739469657,23212.67310384682,22101.617458366913,28082.401507268783,23212.67310384682,22101.617458366913
SSA,1,500,2,4,6030,28091.474739469657,28091.474739469657,0.0,True,804.0416133238832,1.7484196589999783,28091.474739469657,23212.67310384682,22101.617458366913,28085.98762598776,23212.67310384682,22101.617458366913
SSA,1,500,2,5,6030,28091.474739469657,28091.474739469657,0.0,True,791.6665337764515,1.776287191999984,28091.474739469657,23212.67310384682,22101.617458366913,28083.898074652127,23212.67310384682,22101.617458366913
SSA,1,500,2,6,6030,28091.474739469657,28091.474739469657,0.0,True,779.7921182040344,1.6777631269999915,28091.474739469657,23212.67310384682,22101.617458366913,28087.54727028645,23212.67310384682,22101.617458366913
SSA,1,500,2,7,6030,28091.474739469657,28091.474739469657,0.0,True,920.534711843094,1.6706170050000535,28091.474739469657,23212.67310384682,22101.617458366913,28087.746926267013,23212.67310384682,22101.617458366913
